Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
MAPK3	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
MAPKAP1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
MDC1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
MGA	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
MSI1	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
MST1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
MTAP	TSG		OncoKB Annotated,MSK-IMPACT,civic,FOUNDATION ONE	4
NCOA3	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,civic	4
NCSTN	oncogene		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
NEGR1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
NKX3-1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
NOTCH4	oncogene,TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
NUF2	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PAK1	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PAK5	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PDK1	oncogene		OncoKB Annotated,FOUNDATION ONE,FOUNDATION ONE HEME	3
PDPK1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PGR	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,civic	4
PIK3C3			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PIK3CD	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PLK2			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PMAIP1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PNRC1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PPP4R2			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PRDM14			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PTP4A1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
PTPN2	TSG		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
PTPRS	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RAB35	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RAC2	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RECQL	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RHEB	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RIT1	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME,civic	4
RPS6KA4	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RPS6KB2	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RRAGC	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RRAS	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RTEL1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
RYBP	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SESN1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SESN2	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SESN3	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SH2D1A	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SHOC2	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SHQ1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SLX4	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SMC3	TSG		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
SMYD3	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SOX17	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
SPRED1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
STK19	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
STK40			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
TAP1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
TAP2			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
TGFBR1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
TP53BP1	TSG		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
TRAF3	TSG		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
TRAF5	TSG		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
TYK2	oncogene		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
U2AF2			OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
UPF1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
VTCN1			OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
XBP1	oncogene		OncoKB Annotated,MSK-HEME,FOUNDATION ONE HEME	3
XIAP	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
YES1	oncogene		OncoKB Annotated,MSK-IMPACT,MSK-HEME	3
ZNF217	oncogene		OncoKB Annotated,FOUNDATION ONE,FOUNDATION ONE HEME	3
ACTG1	TSG		OncoKB Annotated,MSK-HEME	2
ADGRA2	oncogene		OncoKB Annotated,FOUNDATION ONE HEME	2
AGO1	oncogene		OncoKB Annotated,MSK-IMPACT	2
ALB			OncoKB Annotated,MSK-IMPACT	2
APLNR	oncogene,TSG		OncoKB Annotated,MSK-IMPACT	2
ARFRP1			FOUNDATION ONE HEME,FOUNDATION ONE	2
ARHGEF28	oncogene		OncoKB Annotated,MSK-HEME	2
ARID3A	TSG		OncoKB Annotated,MSK-HEME	2
ARID3B	oncogene		OncoKB Annotated,MSK-HEME	2
ARID3C			OncoKB Annotated,MSK-HEME	2
ARID4A	TSG		OncoKB Annotated,MSK-HEME	2
ARID4B	TSG		OncoKB Annotated,MSK-HEME	2
ARID5A			OncoKB Annotated,MSK-HEME	2
ATP6AP1			OncoKB Annotated,MSK-HEME	2
ATP6V1B2	TSG		OncoKB Annotated,MSK-HEME	2
ATXN2	TSG		OncoKB Annotated,MSK-HEME	2
ATXN7	oncogene		OncoKB Annotated,MSK-IMPACT	2
BACH2	TSG		OncoKB Annotated,MSK-HEME	2
BRSK1	TSG		OncoKB Annotated,FOUNDATION ONE HEME	2
CAD	oncogene		OncoKB Annotated,FOUNDATION ONE HEME	2
CARS1			FOUNDATION ONE HEME,COSMIC CGC (v99)	2
CCN6	oncogene,TSG		OncoKB Annotated,FOUNDATION ONE HEME	2
CEP43			FOUNDATION ONE HEME,COSMIC CGC (v99)	2
CMTR2	TSG		OncoKB Annotated,MSK-IMPACT	2
CRBN	TSG		OncoKB Annotated,MSK-HEME,civic	3
CTR9	TSG		OncoKB Annotated,MSK-IMPACT	2
CUL4A	oncogene		OncoKB Annotated,FOUNDATION ONE	2
CYP19A1	oncogene		OncoKB Annotated,MSK-IMPACT	2
EGR1	TSG		OncoKB Annotated,MSK-HEME	2
EP400	TSG		OncoKB Annotated,MSK-HEME	2
EPHB4	oncogene		OncoKB Annotated,FOUNDATION ONE,civic	3
EPOR	oncogene		OncoKB Annotated,FOUNDATION ONE HEME,civic	3
ESCO2	TSG		OncoKB Annotated,MSK-HEME	2
ETAA1	TSG		OncoKB Annotated,MSK-IMPACT	2
ETS1	oncogene,TSG		OncoKB Annotated,FOUNDATION ONE HEME	2
EZHIP	oncogene		OncoKB Annotated,MSK-IMPACT	2
FOXF1	oncogene,TSG		OncoKB Annotated,MSK-IMPACT	2
FRS2	oncogene		OncoKB Annotated,FOUNDATION ONE HEME	2
FURIN	oncogene		OncoKB Annotated,MSK-HEME	2
GAB1	oncogene		OncoKB Annotated,MSK-IMPACT	2
GAB2	oncogene		OncoKB Annotated,MSK-IMPACT	2
GABRA6	oncogene		OncoKB Annotated,FOUNDATION ONE	2
GATA4	TSG		OncoKB Annotated,FOUNDATION ONE	2
GATA6	oncogene		OncoKB Annotated,FOUNDATION ONE	2
GID4			FOUNDATION ONE HEME,FOUNDATION ONE	2
H1-5	TSG		OncoKB Annotated,MSK-HEME	2
H2BC8			OncoKB Annotated,MSK-HEME	2
H4C9			FOUNDATION ONE HEME,COSMIC CGC (v99)	2
HIRA	TSG		OncoKB Annotated,MSK-HEME	2
HLA-C	TSG		OncoKB Annotated,MSK-IMPACT,civic	3
HSD3B1	oncogene		OncoKB Annotated,FOUNDATION ONE	2
IL3	oncogene		OncoKB Annotated,FOUNDATION ONE HEME,civic	3
IRF2	TSG		OncoKB Annotated,FOUNDATION ONE	2
KBTBD4			OncoKB Annotated,MSK-IMPACT	2
KEL	oncogene		OncoKB Annotated,FOUNDATION ONE	2
KLF5	oncogene		OncoKB Annotated,MSK-IMPACT,civic	3
KSR2	oncogene		OncoKB Annotated,MSK-HEME	2
LTB	oncogene,TSG		OncoKB Annotated,MSK-HEME	2
LTK	oncogene		OncoKB Annotated,FOUNDATION ONE	2
MAD2L2	oncogene,TSG		OncoKB Annotated,MSK-IMPACT	2
MAP3K7	oncogene		OncoKB Annotated,FOUNDATION ONE HEME	2
MEF2C	oncogene,TSG		OncoKB Annotated,FOUNDATION ONE HEME	2
MERTK	oncogene		OncoKB Annotated,FOUNDATION ONE,civic	3
MGAM	oncogene		OncoKB Annotated,MSK-HEME	2
MKI67	oncogene		OncoKB Annotated,FOUNDATION ONE HEME,civic	3
MOB3B	TSG		OncoKB Annotated,MSK-HEME	2
MPEG1			OncoKB Annotated,MSK-HEME	2
NADK	oncogene		OncoKB Annotated,MSK-IMPACT	2
NFE2	oncogene		OncoKB Annotated,MSK-HEME	2
PDS5B	TSG		OncoKB Annotated,MSK-HEME	2
PGBD5	oncogene		OncoKB Annotated,MSK-IMPACT	2
PIGA	TSG		OncoKB Annotated,MSK-HEME	2
PIK3C2B	oncogene		OncoKB Annotated,FOUNDATION ONE	2
PPP2R2A	TSG		OncoKB Annotated,FOUNDATION ONE,civic	3
PRKDC	oncogene,TSG		OncoKB Annotated,FOUNDATION ONE HEME	2
PTPN1	oncogene,TSG		OncoKB Annotated,MSK-HEME	2
PTPRO			FOUNDATION ONE HEME,FOUNDATION ONE	2
RELN			OncoKB Annotated,FOUNDATION ONE HEME	2
REST	TSG		OncoKB Annotated,MSK-IMPACT	2
ROBO1	TSG		OncoKB Annotated,MSK-HEME	2
SAMHD1	TSG		OncoKB Annotated,MSK-HEME	2
SCG5	oncogene		OncoKB Annotated,MSK-IMPACT	2
SERPINB3	oncogene,TSG		OncoKB Annotated,MSK-IMPACT	2
SERPINB4			OncoKB Annotated,MSK-IMPACT	2
SETD1A	oncogene		OncoKB Annotated,MSK-HEME	2
SETD3			OncoKB Annotated,MSK-HEME	2
SETD4			OncoKB Annotated,MSK-HEME	2
SETD5			OncoKB Annotated,MSK-HEME	2
SETD6			OncoKB Annotated,MSK-HEME	2
SETD7			OncoKB Annotated,MSK-HEME	2
SETDB2	TSG		OncoKB Annotated,MSK-HEME	2
SLFN11	TSG		OncoKB Annotated,MSK-IMPACT,civic	3
SMARCA1	oncogene,TSG		OncoKB Annotated,FOUNDATION ONE HEME	2
SMARCA2	TSG		OncoKB Annotated,MSK-IMPACT,civic	3
SMG1	TSG		OncoKB Annotated,MSK-HEME	2
SOCS3	TSG		OncoKB Annotated,FOUNDATION ONE HEME	2
SOX10	oncogene		OncoKB Annotated,FOUNDATION ONE HEME,civic	3
SP140	TSG		OncoKB Annotated,MSK-HEME	2
SPRTN	TSG		OncoKB Annotated,MSK-IMPACT	2
STAT4	oncogene		OncoKB Annotated,FOUNDATION ONE HEME	2
TAF1	oncogene		OncoKB Annotated,FOUNDATION ONE HEME	2
TET3	TSG		OncoKB Annotated,MSK-HEME	2
TRG	oncogene		OncoKB Annotated,FOUNDATION ONE HEME	2
TRIP13	oncogene,TSG		OncoKB Annotated,MSK-IMPACT	2
VAV2	oncogene		OncoKB Annotated,MSK-HEME	2
ZBTB7A	oncogene,TSG		OncoKB Annotated,MSK-HEME	2
ZNF703			FOUNDATION ONE HEME,FOUNDATION ONE	2
ABCB1	oncogene		OncoKB Annotated,civic	2
ACTB			FOUNDATION ONE HEME	1
ADARB2	oncogene		OncoKB Annotated	1
ADGRG4			OncoKB Annotated	1
ADHFE1	oncogene		OncoKB Annotated	1
AGGF1	oncogene		OncoKB Annotated	1
AGK	oncogene		OncoKB Annotated	1
AIP	oncogene,TSG		OncoKB Annotated	1
AJUBA	TSG		OncoKB Annotated	1
AKT1S1	oncogene		OncoKB Annotated	1
ALDH1L2	oncogene		OncoKB Annotated	1
ALOX15B	TSG		OncoKB Annotated	1
ALOX5	oncogene,TSG		OncoKB Annotated	1
ANKRD26	oncogene		OncoKB Annotated	1
APEX1	oncogene		OncoKB Annotated	1
APH1A			FOUNDATION ONE HEME	1
ASCL1	oncogene		OncoKB Annotated	1
ASMTL			FOUNDATION ONE HEME	1
ATG5			FOUNDATION ONE HEME	1
ATMIN	TSG		OncoKB Annotated	1
ATRIP	TSG		OncoKB Annotated	1
BAALC	oncogene		OncoKB Annotated	1
BTLA			FOUNDATION ONE HEME	1
CASR	oncogene,TSG		OncoKB Annotated	1
CCNB3	oncogene		OncoKB Annotated	1
CCT6B			FOUNDATION ONE HEME	1
CD19	oncogene		OncoKB Annotated	1
CD36			FOUNDATION ONE HEME	1
CDH2	oncogene		OncoKB Annotated	1
CDH4	oncogene		OncoKB Annotated	1
CDKN1C	TSG		OncoKB Annotated	1
CHN1			FOUNDATION ONE HEME	1
CHTF8	TSG		OncoKB Annotated	1
CILK1			FOUNDATION ONE HEME	1
CKS1B			FOUNDATION ONE HEME	1
CPS1			FOUNDATION ONE HEME	1
CREM			OncoKB Annotated	1
CSF1			FOUNDATION ONE HEME	1
CTC1			OncoKB Annotated	1
CTDNEP1	TSG		OncoKB Annotated	1
CYP17A1			FOUNDATION ONE	1
DAZAP1			OncoKB Annotated	1
DDR1			FOUNDATION ONE	1
DDX4	oncogene		OncoKB Annotated	1
DDX41	TSG		OncoKB Annotated,civic	2
DHX15	oncogene,TSG		OncoKB Annotated	1
DIS3L2	oncogene,TSG		OncoKB Annotated	1
DKK1			OncoKB Annotated,civic	2
DKK2			OncoKB Annotated	1
DKK3			OncoKB Annotated	1
DKK4			OncoKB Annotated	1
DLL3	oncogene		OncoKB Annotated	1
DPYD			OncoKB Annotated,civic	2
DUSP2			FOUNDATION ONE HEME	1
DUSP9			FOUNDATION ONE HEME	1
ECSIT	oncogene		OncoKB Annotated	1
EGR2	TSG		OncoKB Annotated	1
EIF2B1	TSG		OncoKB Annotated	1
ELL2	oncogene,TSG		OncoKB Annotated	1
ELP2			FOUNDATION ONE HEME	1
ERCC1	TSG		OncoKB Annotated,civic	2
ERCC6	oncogene		OncoKB Annotated	1
EXOSC6			FOUNDATION ONE HEME	1
FAF1			FOUNDATION ONE HEME	1
FANCB			OncoKB Annotated	1
FANCI			OncoKB Annotated	1
FANCM	TSG		OncoKB Annotated	1
FBXO31			FOUNDATION ONE HEME	1
FBXW2			OncoKB Annotated	1
FGF1	oncogene		OncoKB Annotated	1
FGF12			FOUNDATION ONE	1
FGF2	oncogene		OncoKB Annotated,civic	2
FGF5	oncogene		OncoKB Annotated	1
FGF7	oncogene		OncoKB Annotated	1
FGF8	oncogene		OncoKB Annotated	1
FGF9	oncogene		OncoKB Annotated	1
FLYWCH1			FOUNDATION ONE HEME	1
FOLH1	oncogene		OncoKB Annotated	1
FOLR1	oncogene		OncoKB Annotated	1
FOXN4	oncogene		OncoKB Annotated	1
FSTL1	oncogene		OncoKB Annotated	1
FZR1	oncogene,TSG		OncoKB Annotated	1
GADD45B			FOUNDATION ONE HEME	1
GEN1			OncoKB Annotated	1
GRB7	oncogene		OncoKB Annotated	1
GSTP1	TSG		OncoKB Annotated,civic	2
GTSE1			FOUNDATION ONE HEME	1
H3C15			OncoKB Annotated	1
H3P6			OncoKB Annotated	1
H4C6			OncoKB Annotated	1
HDAC2	oncogene		OncoKB Annotated	1
HFE	oncogene		OncoKB Annotated	1
HNF1B			OncoKB Annotated	1
HOXA3			FOUNDATION ONE HEME	1
HSD17B2	TSG		OncoKB Annotated	1
HTATIP2	TSG		OncoKB Annotated	1
ID1	oncogene		OncoKB Annotated	1
IFNAR1			OncoKB Annotated	1
IKZF2			FOUNDATION ONE HEME	1
ING1	TSG		OncoKB Annotated	1
INPP5D			FOUNDATION ONE HEME	1
INTS6	TSG		OncoKB Annotated	1
IQGAP1	oncogene		OncoKB Annotated	1
ITPKB	oncogene		OncoKB Annotated	1
KDM2B			FOUNDATION ONE HEME	1
KDM4C			FOUNDATION ONE HEME	1
KDM5D	oncogene,TSG		OncoKB Annotated	1
KLF2	TSG		OncoKB Annotated	1
KLF3	TSG		OncoKB Annotated	1
LGR5	oncogene		OncoKB Annotated	1
LRP5	oncogene,TSG		OncoKB Annotated	1
LRP6	oncogene		OncoKB Annotated	1
LRRK2			FOUNDATION ONE HEME	1
MAGED1			FOUNDATION ONE HEME	1
MAGI2	TSG		OncoKB Annotated	1
MAL2	TSG		OncoKB Annotated	1
MAP3K21	oncogene		OncoKB Annotated	1
MAP3K6			FOUNDATION ONE HEME	1
MAP4K4	oncogene		OncoKB Annotated	1
MBD4	TSG		OncoKB Annotated	1
MBD6	TSG		OncoKB Annotated	1
MEF2D	oncogene		OncoKB Annotated	1
MIB1			FOUNDATION ONE HEME	1
MIDEAS	TSG		OncoKB Annotated	1
MKNK1			FOUNDATION ONE	1
MLH3	TSG		OncoKB Annotated	1
MS4A1			OncoKB Annotated,civic	2
MTHFD2	oncogene		OncoKB Annotated	1
MTHFR			OncoKB Annotated,civic	2
MYBL1	oncogene		OncoKB Annotated,civic	2
MYO18A			FOUNDATION ONE HEME	1
NBEAP1			FOUNDATION ONE HEME	1
NHERF1	oncogene,TSG		OncoKB Annotated	1
NOD1			FOUNDATION ONE HEME	1
NQO1	oncogene		OncoKB Annotated,civic	2
NUTM2A			FOUNDATION ONE HEME	1
ONECUT2	oncogene		OncoKB Annotated	1
PAG1			FOUNDATION ONE HEME	1
PAK3			FOUNDATION ONE HEME	1
PARP2			FOUNDATION ONE	1
PARP3			FOUNDATION ONE	1
PASK			FOUNDATION ONE HEME	1
PC			FOUNDATION ONE HEME	1
PCLO			FOUNDATION ONE HEME	1
PCSK7			FOUNDATION ONE HEME	1
PDCD11			FOUNDATION ONE HEME	1
PHF1			FOUNDATION ONE HEME	1
PHF19	oncogene		OncoKB Annotated	1
PHLPP1	TSG		OncoKB Annotated	1
PHLPP2	TSG		OncoKB Annotated	1
POLH	TSG		OncoKB Annotated	1
POU2F2	oncogene		OncoKB Annotated	1
POU3F2	oncogene		OncoKB Annotated	1
POU3F4	oncogene		OncoKB Annotated	1
PPP1CB			FOUNDATION ONE HEME	1
PRPF8	TSG		OncoKB Annotated	1
PRSS1			OncoKB Annotated	1
PRSS8			FOUNDATION ONE HEME	1
PSMB2	oncogene		OncoKB Annotated	1
PTK7			FOUNDATION ONE HEME	1
PTPN14	TSG		OncoKB Annotated	1
PUM1			OncoKB Annotated	1
RASGEF1A			FOUNDATION ONE HEME	1
REV3L	oncogene		OncoKB Annotated	1
RIOK2	oncogene		OncoKB Annotated	1
RNASEH2A	oncogene		OncoKB Annotated	1
RNASEH2B	TSG		OncoKB Annotated	1
RNF217-AS1			FOUNDATION ONE HEME	1
RPS15	oncogene		OncoKB Annotated	1
RPS6KB1	oncogene		OncoKB Annotated	1
RUNX2			FOUNDATION ONE HEME	1
S1PR2			FOUNDATION ONE HEME	1
SAMD9			OncoKB Annotated	1
SAMD9L			OncoKB Annotated	1
SEC31A			FOUNDATION ONE HEME	1
SEPTIN5			FOUNDATION ONE HEME	1
SEPTIN6			FOUNDATION ONE HEME	1
SEPTIN9			FOUNDATION ONE HEME	1
SERP2			FOUNDATION ONE HEME	1
SF3B2	oncogene		OncoKB Annotated	1
SFRP1	TSG		OncoKB Annotated	1
SFRP2	oncogene,TSG		OncoKB Annotated	1
SLC1A2			FOUNDATION ONE HEME	1
SLIT2			OncoKB Annotated	1
SLIT3	TSG		OncoKB Annotated	1
SNCAIP			FOUNDATION ONE	1
SOCS2			FOUNDATION ONE HEME	1
SQSTM1	oncogene		OncoKB Annotated	1
SRP72	oncogene		OncoKB Annotated	1
STAT1			OncoKB Annotated	1
STAT2			OncoKB Annotated	1
SZT2			OncoKB Annotated	1
TACSTD2	oncogene		OncoKB Annotated	1
TCL1B	oncogene		OncoKB Annotated	1
TERC			FOUNDATION ONE	1
TIGAR	oncogene		OncoKB Annotated	1
TIPARP			FOUNDATION ONE	1
TLE1			OncoKB Annotated	1
TLE2			OncoKB Annotated	1
TLE3			OncoKB Annotated	1
TLE4			OncoKB Annotated	1
TLL2			FOUNDATION ONE HEME	1
TMEM30A			FOUNDATION ONE HEME	1
TMSB4XP8			FOUNDATION ONE HEME	1
TNFRSF11A			FOUNDATION ONE HEME	1
TNFSF13	oncogene		OncoKB Annotated	1
TONSL			OncoKB Annotated	1
TOP2A	oncogene		OncoKB Annotated,civic	2
TPMT			OncoKB Annotated	1
TRIB3	oncogene		OncoKB Annotated	1
TTL			FOUNDATION ONE HEME	1
TUSC3			FOUNDATION ONE HEME	1
TYMS	oncogene		OncoKB Annotated,civic	2
TYRO3			FOUNDATION ONE	1
UBA1	oncogene		OncoKB Annotated	1
UBE2A	oncogene		OncoKB Annotated	1
UBTF	oncogene		OncoKB Annotated	1
UCHL1	oncogene		OncoKB Annotated	1
USP1	oncogene		OncoKB Annotated	1
WDR90			FOUNDATION ONE HEME	1
WEE1	TSG		OncoKB Annotated,civic	2
WWP1	oncogene		OncoKB Annotated	1
XRCC1	TSG		OncoKB Annotated,civic	2
YPEL5			FOUNDATION ONE HEME	1
YY1	oncogene		OncoKB Annotated	1
YY1AP1			FOUNDATION ONE HEME	1
ZBTB20	oncogene,TSG		OncoKB Annotated	1
ZFP36L1	TSG		OncoKB Annotated	1
ZFP36L2	TSG		OncoKB Annotated	1
ZNF24			FOUNDATION ONE HEME	1
ZNF292	TSG		OncoKB Annotated	1
ZNF750	TSG		OncoKB Annotated	1
		BCR	civic	1
EWSR1::FLI1			civic	1
TTF1			civic	1
BIRC7			civic	1
ABCG2			civic	1
PAPSS1			civic	1
NT5E			civic	1
AREG			civic	1
TGFA			civic	1
EREG			civic	1
DEFA1			civic	1
FNTB			civic	1
PDCD4			civic	1
TFF3			civic	1
CD44			civic	1
EGF			civic	1
HMOX1			civic	1
SPHK1			civic	1
PBK			civic	1
ALCAM			civic	1
STMN1			civic	1
RSF1			civic	1
UGT1A			civic	1
BIRC5			civic	1
AGR2			civic	1
NAPRT			civic	1
TIMP1			civic	1
PTP4A3			civic	1
PRKAA2			civic	1
HSPA5			civic	1
EIF4EBP1			civic	1
TUBB3			civic	1
CFLAR			civic	1
PROM1			civic	1
FOXP3			civic	1
RPS6			civic	1
DUSP6			civic	1
HSPB1			civic	1
MAGEH1			civic	1
ABCC3			civic	1
ABCC10			civic	1
ASNS			civic	1
THBS2			civic	1
v			civic	1
HLA-DRA			civic	1
PSMB8			civic	1
PTTG1			civic	1
LEPR			civic	1
NEDD9			civic	1
ETS2			civic	1
KRT18			civic	1
FGF13			civic	1
FCGR2A			civic	1
FCGR3A			civic	1
ALDH1A2			civic	1
CIP2A			civic	1
MIR218-1			civic	1
DDX43			civic	1
TBK1			civic	1
HAVCR2			civic	1
MMP2			civic	1
MMP9			civic	1
HSPH1			civic	1
ECSCR			civic	1
ROBO4			civic	1
EML4::ALK			civic	1
DUX4			civic	1
B4GALT1			civic	1
SIRT1			civic	1
ACTA1			civic	1
PPP1R15A			civic	1
MAP2K7			civic	1
PPFIBP2			civic	1
RAD23B			civic	1
FOS			civic	1
GAS6			civic	1
STAG3			civic	1
ZKSCAN1			civic	1
KIF23			civic	1
GADD45A			civic	1
KLLN			civic	1
CYP2D6			civic	1
UGT1A1			civic	1
TNKS2			civic	1
SLCO1B1			civic	1
RRM1			civic	1
RRM2			civic	1
VPS37A			civic	1
CTAG1B			civic	1
CTAG2			civic	1
SLC3A2			civic	1
ATP1B1			civic	1
MACF1			civic	1
ASS1			civic	1
TLK2			civic	1
TRIM63			civic	1
GON4L			civic	1
SSBP2			civic	1
SNX2			civic	1
RCSD1			civic	1
FGFR1OP2			civic	1
APP			civic	1
ATF7IP			civic	1
STRN3			civic	1
TERF2			civic	1
USP25			civic	1
ZNF274			civic	1
RFX3			civic	1
NRF1			civic	1
IL6			civic	1
PRPS1			civic	1
OFD1			civic	1
SMU1			civic	1
ZNF430			civic	1
KANK1			civic	1
ZMIZ1			civic	1
CENPC			civic	1
NUP153			civic	1
VCL			civic	1
AFAP1			civic	1
SLC29A1			civic	1
SSTR5			civic	1
KANK4			civic	1
SCP2			civic	1
CHD7			civic	1
ZFTA			civic	1
FOXR2			civic	1
SLC4A4			civic	1
TMB			civic	1
Kataegis			civic	1
CK			civic	1
CD72			civic	1
GOLGA4			civic	1
ANO10			civic	1
Methylation signature			civic	1
EGFR::RAD51			civic	1
GOPC::ROS1			civic	1
C19MC			civic	1
